source,position,company,location,category,career_text,employment_type,url
jobkorea,현장 전문기술직 상시채용 - 보건,대방산업개발,경기 시흥시 외,보건관리자,신입,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/50012930
jobkorea,기술인력 채용 - 보건,대방산업개발,경기 시흥시 외,보건관리자,신입,,https://www.jobkorea.co.kr/Recruit/GI_Read/50012897
jobkorea,보건관리자(간호사) 계약직 채용,에스케이실트론,경북 구미시,보건관리자,,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/50012472
jobkorea,대한산업보건협회 서울지역본부 산업위생국 산업위생기사(기한직) 채용,㈔대한산업보건협회,서울 금천구,보건관리자,경력무관,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/50005663
jobkorea,"프로젝트계약직 경력사원 채용(사업, 설계, 시공, 안전/보건, 품질)",삼성이앤에이(주),서울,보건관리자,경력 2년 이상,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/50008813
jobkorea,2026년 신입/경력사원 상시모집 - 보건관리자,㈜서영건설플러스,전남광주 광산구,보건관리자,신입,,https://www.jobkorea.co.kr/Recruit/GI_Read/50003643
jobkorea,2026년 보건관리자 경력직(촉탁직) 채용,에스케이에코플랜트(주),,보건관리자,,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/50002347
jobkorea,2026년 보건관리자 경력직(계약직) 채용,에스케이에코플랜트(주),,보건관리자,,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/50002269
jobkorea,여수공장 보건관리자 계약직 구성원 영입 (여수),LX MMA,전남광주 여수시,보건관리자,신입,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/50001186
jobkorea,대졸 경력사원 채용(안전보건센터),아세아제지㈜,경기 시흥시,보건관리자,신입,,https://www.jobkorea.co.kr/Recruit/GI_Read/49999481
jobkorea,[중견IT기업] 보건관리자 채용,㈜진인프라,서울 송파구,보건관리자,경력 2년 이상,,https://www.jobkorea.co.kr/Recruit/GI_Read/49998188
jobkorea,[간호·보건 관련 자격증 보유자] 여행 프로그램 현장 안전 요원 채용,㈜무빙트립(moving trip),경기 시흥시,보건관리자,신입,,https://www.jobkorea.co.kr/Recruit/GI_Read/49997717
jobkorea,경력사원 정규직 채용 (보건),신영씨앤디,서울 전지역 외,보건관리자,,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49997224
jobkorea,제조 설비OT 사업 보건관리 담당자 영입 (계약직),SK㈜ AX,경기 용인시 외,보건관리자,,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49996788
jobkorea,[바나프레소] 본사 안전관리자/ 보건관리자 채용,㈜바나플에프엔비,서울 강남구,보건관리자,경력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49994461
jobkorea,2026년 9월 PJT 계약직 채용 - 보건관리,쌍용건설,서울 송파구,보건관리자,,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49994331
jobkorea,[건설부문] 보건관리(PJT계약직) 채용 - CBRE 오산 세교 물류센터 신축공사,CJ대한통운㈜,경기 화성시,보건관리자,,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49991247
